coord   	geo
#data_num	63
#slip_num	344
#ndf     	-281
#rss      	1.74657e-01  [m^2]
#rms      	5.26529e-02  [m]
#wrss   	NaN          [m^2]
#wrms   	NaN          [m]
#chi2    	NaN         
#rchi2   	NaN         
#r_1d   	NaN          [cm/km]
#r_2d   	9.62639e-02  [cm/km^2]
#strain   	1.08647e+00  [cm/km]

earth	homogeneous	3.00e+10  	0.2500

kappa   	0.00000     
beta     	0.00000     

smooth   	2d
surface  	free

fault 2 nicoya  -85.54233907   8.74026277     -86.82826920 10.01077299    0.0000e+00 6.1999e+04   25.00    -0.01000 0.01000  0.00000   0.0000 0.0000  0.0000 0.0000  0.0000 0.0000    30 40
     subfault nicoya     14     3       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     15     3       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     16     3       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     17     3       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     18     3       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     19     3       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     20     3       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     21     3       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     22     3       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     23     3       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     24     3       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     25     3       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     26     3       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     27     3       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     28     3       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     29     3       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     30     3       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya      1     4       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya      2     4       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya      3     4       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya      4     4       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya      5     4       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya      6     4       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya      7     4       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya      8     4       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya      9     4       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     10     4       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     11     4       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     12     4       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     13     4       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     14     4       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     15     4       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     16     4       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     17     4       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     18     4       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     19     4       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     20     4       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     21     4       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     22     4       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     23     4       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     24     4       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     25     4       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     26     4       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     27     4       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     28     4       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     29     4       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     30     4       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya      1     5       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya      2     5       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya      3     5       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya      4     5       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya      5     5       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya      6     5       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya      7     5       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya      8     5       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya      9     5       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     10     5       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     11     5       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     12     5       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     13     5       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     14     5       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     15     5       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     16     5       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     17     5       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     18     5       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     19     5       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     20     5       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     21     5       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     22     5       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     23     5       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     24     5       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     25     5       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     26     5       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     27     5       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
     subfault nicoya     28     5       0.00000      0.00000      0.00000    0.0000   0.0000    0.0000   0.0000    0.0000   0.0000
